id,coordinate,address,typeSummary,iconName,location_name,price,formatted_price,price_per_area,fee,sale_date,asked_price,rooms,living_space,supplemental_area,url,land_area,formatted_price_change_percentage,broker_logo_url
1190342,"[59.328571580660224,18.04141986200132]","Garvargatan 22, 1 / 2 tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",<span class='sold-for'>Slutpris 5 700 000 kr</span>,Slutpris 5 700 000 kr,74 026 kr/m²,3 134 kr/mån,Såld 2020-05-22,Begärt pris 6 000 000 kr,3 rum,77 m²,null,"/salda/lagenhet-3rum-kungsholmen-kungsholmstorg-stockholms-kommun-garvargatan-22,-1-2-tr-1190342",null,-5 %,https://bilder.hemnet.se/images/broker_logo_2/45/12/4512f7eb77c66e721ba9d52777e74d52.png
1190371,"[59.3374440316271,18.027789871995935]",Svarvargatan 10,Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",<span class='sold-for'>Slutpris 3 550 000 kr</span>,Slutpris 3 550 000 kr,93 421 kr/m²,1 791 kr/mån,Såld 2020-05-22,Begärt pris 3 250 000 kr,2 rum,38 m²,null,/salda/lagenhet-2rum-kungsholmen-stockholms-kommun-svarvargatan-10-1190371,null,+9 %,https://bilder.hemnet.se/images/broker_logo_2/ec/92/ec92573d800c8d9c0cf06ed9971e790c.png
1190377,"[59.32946079022372,18.027167004398162]","Norr Mälarstrand 88, 3 tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",<span class='sold-for'>Slutpris 2 675 000 kr</span>,Slutpris 2 675 000 kr,105 731 kr/m²,1 002 kr/mån,Såld 2020-05-22,Begärt pris 2 495 000 kr,1 rum,"25,3 m²",null,"/salda/lagenhet-1rum-kungsholmen-stockholms-kommun-norr-malarstrand-88,-3-tr-1190377",null,+7 %,https://bilder.hemnet.se/images/broker_logo_2/9a/6d/9a6d1ddfd92e9f84bd6068eab9a9c490.png
1190390,"[59.328569892201934,18.041876929890552]","Garvargatan 20, 4 tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",<span class='sold-for'>Slutpris 4 250 000 kr</span>,Slutpris 4 250 000 kr,101 190 kr/m²,2 146 kr/mån,Såld 2020-05-22,Begärt pris 3 950 000 kr,2 rum,42 m²,null,"/salda/lagenhet-2rum-kungsholmen-kungsholmstorg-stockholms-kommun-garvargatan-20,-4-tr-1190390",null,+8 %,https://bilder.hemnet.se/images/broker_logo_2/45/12/4512f7eb77c66e721ba9d52777e74d52.png
1190620,"[59.330422820654974,18.04795167995973]","Kungsklippan 14, 8 tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",<span class='sold-for'>Slutpris 2 950 000 kr</span>,Slutpris 2 950 000 kr,98 333 kr/m²,2 521 kr/mån,Såld 2020-05-22,Begärt pris 2 850 000 kr,1 rum,30 m²,null,"/salda/lagenhet-1rum-kungsholmen-stockholms-kommun-kungsklippan-14,-8-tr-1190620",null,+4 %,https://bilder.hemnet.se/images/broker_logo_2/45/12/4512f7eb77c66e721ba9d52777e74d52.png
1190713,"[59.336786564471396,18.026306571011144]","Alströmergatan 32U, 2tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",<span class='sold-for'>Slutpris 4 300 000 kr</span>,Slutpris 4 300 000 kr,87 755 kr/m²,2 287 kr/mån,Såld 2020-05-23,Begärt pris 3 795 000 kr,2 rum,49 m²,null,"/salda/lagenhet-2rum-kungsholmen-stockholms-kommun-alstromergatan-32u,-2tr-1190713",null,+13 %,https://bilder.hemnet.se/images/broker_logo_2/6d/b7/6db7ae1ac6c88bf6ac19132d9c93fc93.png
1190768,"[59.33659135930615,18.034696930964223]","Sankt Eriksgatan 58D, 1+2 tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",<span class='sold-for'>Slutpris 9 630 000 kr</span>,Slutpris 9 630 000 kr,99 278 kr/m²,1 745 kr/mån,Såld 2020-05-23,Begärt pris 8 950 000 kr,4 rum,97 m²,null,"/salda/lagenhet-4rum-kungsholmen-stockholms-kommun-sankt-eriksgatan-58d,-1-2-tr-1190768",null,+8 %,https://bilder.hemnet.se/images/broker_logo_2/d0/d1/d0d15b52be14775108dc9a3b1f65a37d.jpg
1191226,"[59.32768741811157,18.04464675358716]","Jakob Westinsgatan 7, vån 3",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",<span class='sold-for'>Slutpris 6 550 000 kr</span>,Slutpris 6 550 000 kr,95 620 kr/m²,3 049 kr/mån,Såld 2020-05-25,Begärt pris 5 850 000 kr,3 rum,"68,5 m²",null,"/salda/lagenhet-3rum-kungsholmen-norr-malarstrand-stockholms-kommun-jakob-westinsgatan-7,-van-3-1191226",null,+12 %,https://bilder.hemnet.se/images/broker_logo_2/b6/56/b656d8b9f26d099a415a7546b5d620a2.png
1191294,"[59.33090153310809,18.005699216618265]","Adlerbethsgatan 15, 1tr - ACCEPTERAT PRIS",Bostadsrättslägenhet,bostadsratt,"Fredhäll, Stockholm",<span class='sold-for'>Slutpris 3 150 000 kr</span>,Slutpris 3 150 000 kr,70 000 kr/m²,2 424 kr/mån,Såld 2020-05-25,Begärt pris 3 250 000 kr,2 rum,45 m²,null,"/salda/lagenhet-2rum-kungsholmen-fredhall-stockholms-kommun-adlerbethsgatan-15,-1tr-accepterat-pris-1191294",null,-3 %,https://bilder.hemnet.se/images/broker_logo_2/e2/b5/e2b54e2572a76c90b88202121905077e.png
1191335,"[59.339023843846995,18.008862400150548]","Nordenflychtsvägen 65, 5 tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",<span class='sold-for'>Slutpris 7 820 000 kr</span>,Slutpris 7 820 000 kr,71 091 kr/m²,4 734 kr/mån,Såld 2020-05-25,Begärt pris 7 595 000 kr,4 rum,110 m²,null,"/salda/lagenhet-4rum-kungsholmen-hornsbergs-strand-stockholms-kommun-nordenflychtsvagen-65,-5-tr-1191335",null,+3 %,https://bilder.hemnet.se/images/broker_logo_2/d0/d1/d0d15b52be14775108dc9a3b1f65a37d.jpg
