id,coordinate,address,typeSummary,iconName,location_name,price,formatted_price,price_per_area,fee,sale_date,asked_price,rooms,living_space,supplemental_area,url,land_area,formatted_price_change_percentage,broker_logo_url,price_change,floor,location_part,street_id,latitude,longitude
1256435,"[59.33386270659145,18.024516179395896]",Mariebergsgatan 15,Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",4900000,Slutpris 4 900 000 kr,77165,3075,2020-09-23,5150000,2,63.5,0,/salda/lagenhet-2rum-kungsholmen-stockholms-kommun-mariebergsgatan-15-1256435,null,-5 %,https://bilder.hemnet.se/images/broker_logo_2/41/98/4198a02244e8c874dc5590e810dd751b.png,-5,0,Kungsholmen,mariebergsgatan,59.33386270659145,18.024516179395896
1256475,"[59.32981621721501,18.028113108377987]","Pontonjärgatan 45, 5tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",3350000,Slutpris 3 350 000 kr,98529,2055,2020-09-22,2895000,1,34,0,"/salda/lagenhet-1rum-kungsholmen-stockholms-kommun-pontonjargatan-45,-5tr-1256475",null,+16 %,https://bilder.hemnet.se/images/broker_logo_2/ec/92/ec92573d800c8d9c0cf06ed9971e790c.png,16,5,Kungsholmen,pontonjrgatan,59.32981621721501,18.028113108377987
1256517,"[59.33353712876623,18.011419537732348]","Geijersvägen 21, 2 tr",Bostadsrättslägenhet,bostadsratt,"Kristineberg, Stockholm",3930000,Slutpris 3 930 000 kr,66610,2754,2020-09-23,3800000,2,59,0,"/salda/lagenhet-2rum-kungsholmen-stockholms-kommun-geijersvagen-21,-2-tr-1256517",null,+3 %,https://bilder.hemnet.se/images/broker_logo_2/e2/b5/e2b54e2572a76c90b88202121905077e.png,3,2,Kristineberg,geijersvgen,59.33353712876623,18.011419537732348
1256572,"[59.33831832346305,18.00633734014853]","Lindhagensgatan 135, 6 tr",Bostadsrättslägenhet,bostadsratt,"Kristineberg, Stockholm",5470000,Slutpris 5 470 000 kr,81037,2627,2020-09-23,4995000,2,67.5,0,"/salda/lagenhet-2rum-kungsholmen-hornsbergs-strand-stockholms-kommun-lindhagensgatan-135,-6-tr-1256572",null,+10 %,https://bilder.hemnet.se/images/broker_logo_2/82/25/8225c7d0596e9ce0b5fdccc669703063.jpg,10,6,Kristineberg,lindhagensgatan,59.33831832346305,18.00633734014853
1256618,"[59.33128997205136,17.998593454432953]","Rålambsvägen 69, 1tr",Bostadsrättslägenhet,bostadsratt,"Fredhäll, Stockholm",2800000,Slutpris 2 800 000 kr,80000,2202,2020-09-23,2800000,1,35,0,"/salda/lagenhet-1rum-kungsholmen-fredhall-stockholms-kommun-ralambsvagen-69,-1tr-1256618",null,,https://bilder.hemnet.se/images/broker_logo_2/e2/b5/e2b54e2572a76c90b88202121905077e.png,0,1,Fredhäll,rlambsvgen,59.33128997205136,17.998593454432953
1256626,"[59.32787944130568,18.041428304918295]",Kungsholmstorg 3D / Garvargatan 17,Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",10350000,Slutpris 10 350 000 kr,104545,3665,2020-09-23,8900000,4,99,0,/salda/lagenhet-4rum-kungsholmen-stockholms-kommun-kungsholmstorg-3d-garvargatan-17-1256626,null,+16 %,https://bilder.hemnet.se/images/broker_logo_2/d0/d1/d0d15b52be14775108dc9a3b1f65a37d.jpg,16,0,Kungsholmen,kungsholmstorg,59.32787944130568,18.041428304918295
1256631,"[59.32928270990558,18.002250083960057]","Atterbomsvägen 58, 4 tr",Bostadsrättslägenhet,bostadsratt,"Fredhäll, Stockholm",3460000,Slutpris 3 460 000 kr,88718,1891,2020-09-23,2995000,2,39,0,"/salda/lagenhet-2rum-fredhall-stockholms-kommun-atterbomsvagen-58,-4-tr-1256631",null,+16 %,https://bilder.hemnet.se/images/broker_logo_2/8c/23/8c239b600e72beaa3a82d1778b7217cf.png,16,4,Fredhäll,atterbomsvgen,59.32928270990558,18.002250083960057
1256857,"[59.331238628943716,18.0326364293416]","Kronobergsgatan 5, 2 tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",4270000,Slutpris 4 270 000 kr,101667,1879,2020-09-23,3795000,2,42,0,"/salda/lagenhet-2rum-kungsholmen-stockholms-kommun-kronobergsgatan-5,-2-tr-1256857",null,+13 %,https://bilder.hemnet.se/images/broker_logo_2/09/8d/098d01e00641ae617706acaf23bb6915.png,13,2,Kungsholmen,kronobergsgatan,59.331238628943716,18.0326364293416
1256911,"[59.33486500688815,18.028175800073594]","Arbetargatan 29, 2tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",5350000,Slutpris 5 350 000 kr,99074,2481,2020-09-23,4695000,2,54,0,"/salda/lagenhet-2rum-kungsholmen-stockholms-kommun-arbetargatan-29,-2tr-1256911",null,+14 %,https://bilder.hemnet.se/images/broker_logo_2/e2/b5/e2b54e2572a76c90b88202121905077e.png,14,2,Kungsholmen,arbetargatan,59.33486500688815,18.028175800073594
1256951,"[59.33086912780469,18.00437738394121]",Ernst Ahlgrens Väg 4,Bostadsrättslägenhet,bostadsratt,"Fredhäll, Stockholm",3300000,Slutpris 3 300 000 kr,78571,2304,2020-09-23,3300000,2,42,0,/salda/lagenhet-2rum-kungsholmen-fredhall-stockholms-kommun-ernst-ahlgrens-vag-4-1256951,null,,https://bilder.hemnet.se/images/broker_logo_2/e2/b5/e2b54e2572a76c90b88202121905077e.png,0,0,Fredhäll,ernstahlgrensvg,59.33086912780469,18.00437738394121
1256980,"[59.329719892144006,18.03726676792207]",Hantverkargatan 53,Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",5150000,Slutpris 5 150 000 kr,78030,3177,2020-09-23,4895000,3,66,0,/salda/lagenhet-3rum-kungsholmen-stockholms-kommun-hantverkargatan-53-1256980,null,+5 %,https://bilder.hemnet.se/images/broker_logo_2/e2/b5/e2b54e2572a76c90b88202121905077e.png,5,0,Kungsholmen,hantverkargatan,59.329719892144006,18.03726676792207
1257122,"[59.32920648238958,18.035005125745684]","Jaktvarvsplan 3, 2tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",5550000,Slutpris 5 550 000 kr,94872,3427,2020-09-23,5190000,2,58.5,0,"/salda/lagenhet-2,5rum-kungsholmen-nedre-stockholms-kommun-jaktvarvsplan-3,-2tr-1257122",null,+7 %,https://bilder.hemnet.se/images/broker_logo_2/90/7b/907bd968a9dbf3a35100ba71123bd930.png,7,2,Kungsholmen,jaktvarvsplan,59.32920648238958,18.035005125745684
1257148,"[59.333536685155266,18.034283593179957]",Parkgatan 20,Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",4600000,Slutpris 4 600 000 kr,97872,1778,2020-09-24,4195000,2,47,0,/salda/lagenhet-2rum-kungsholmen-stockholms-kommun-parkgatan-20-1257148,null,+10 %,https://bilder.hemnet.se/images/broker_logo_2/be/e2/bee29a0992354e08dc60cc6502f5b60f.jpg,10,0,Kungsholmen,parkgatan,59.333536685155266,18.034283593179957
1257231,"[59.3358720627055,18.03239891705741]","Alströmergatan 8A, Möjlig 4:a",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",9900000,Slutpris 9 900 000 kr,91667,4477,2020-09-24,8795000,3,108,0,"/salda/lagenhet-3rum-kungsholmen-fridhemsplan-stockholms-kommun-alstromergatan-8a,-mojlig-4-a-1257231",null,+13 %,https://bilder.hemnet.se/images/broker_logo_2/70/88/7088fe6ff6a4c2413ceb8481b3a51c7b.png,13,0,Kungsholmen,alstrmergatan,59.3358720627055,18.03239891705741
1257241,"[59.33048882687041,18.024690930286727]","Norr Mälarstrand 100, 6tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",8020000,Slutpris 8 020 000 kr,101519,4349,2020-09-23,6995000,3,79,0,"/salda/lagenhet-3rum-kungsholmen-stockholms-kommun-norr-malarstrand-100,-6tr-1257241",null,+15 %,https://bilder.hemnet.se/images/broker_logo_2/82/25/8225c7d0596e9ce0b5fdccc669703063.jpg,15,6,Kungsholmen,norrmlarstrand,59.33048882687041,18.024690930286727
1257251,"[59.32924804860385,18.035149520416017]","Jaktvarvsplan 3, vån 1",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",4415000,Slutpris 4 415 000 kr,95978,2431,2020-09-24,3795000,2,46,0,"/salda/lagenhet-2rum-kungsholmen-stockholms-kommun-jaktvarvsplan-3,-van-1-1257251",null,+16 %,https://bilder.hemnet.se/images/broker_logo_2/63/7c/637c17c40a250ef71084ac34e860d757.jpg,16,1,Kungsholmen,jaktvarvsplan,59.32924804860385,18.035149520416017
